,RAPE,LARCENY,BURGLARY,LARCENY FROM AUTO,AGG. ASSAULT,COMMON ASSAULT,AUTO THEFT,ROBBERY - STREET,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,HOMICIDE,SHOOTING,ROBBERY - CARJACKING,ARSON
2014-01-06,1.0,37,26,11,3,23,5,6,0,1,2.0,0,0.0,2.0
2014-01-07,2.0,32,12,11,3,12,11,2,1,0,0.0,0,0.0,0.0
2014-01-08,0.0,23,24,12,9,26,12,6,0,1,1.0,1,1.0,0.0
2014-01-09,0.0,46,25,9,11,20,5,9,1,3,1.0,1,0.0,0.0
2014-01-10,0.0,33,22,24,9,27,9,11,1,0,3.0,0,2.0,0.0
2014-01-11,1.0,18,17,16,12,19,14,7,3,2,1.0,0,0.0,0.0
2014-01-12,1.0,17,13,11,13,29,8,4,2,2,2.0,2,0.0,0.0
2014-01-13,0.0,20,24,15,12,29,15,10,0,0,0.0,1,0.0,1.0
2014-01-14,1.0,39,26,19,9,18,11,12,0,1,0.0,1,0.0,1.0
2014-01-15,0.0,34,24,15,4,32,10,7,0,7,0.0,0,0.0,2.0
2014-01-16,0.0,37,24,22,9,17,13,9,3,3,0.0,0,0.0,2.0
2014-01-17,2.0,34,24,30,4,19,13,8,0,2,1.0,1,1.0,0.0
2014-01-18,2.0,32,11,16,13,9,5,5,0,2,1.0,1,0.0,4.0
2014-01-19,0.0,23,16,20,16,15,12,2,0,1,0.0,2,0.0,0.0
2014-01-20,2.0,30,19,25,8,21,15,4,1,1,0.0,2,0.0,0.0
2014-01-21,0.0,15,18,10,5,7,12,3,5,2,0.0,1,0.0,0.0
2014-01-22,2.0,27,9,17,11,12,15,8,2,0,0.0,1,0.0,0.0
2014-01-23,0.0,21,25,20,5,16,3,5,3,7,0.0,2,0.0,1.0
2014-01-24,0.0,33,14,15,8,15,11,8,3,7,0.0,0,1.0,1.0
2014-01-25,1.0,25,20,18,9,20,12,3,1,1,2.0,0,0.0,0.0
2014-01-26,0.0,18,16,19,3,21,20,1,2,0,0.0,0,1.0,2.0
2014-01-27,0.0,35,15,16,8,24,14,13,0,0,1.0,1,0.0,0.0
2014-01-28,1.0,20,19,8,6,20,7,6,2,3,1.0,1,1.0,0.0
2014-01-29,0.0,22,23,9,9,15,12,7,3,1,0.0,1,0.0,0.0
2014-01-30,1.0,38,17,21,11,21,11,9,3,4,4.0,2,0.0,0.0
2014-01-31,0.0,28,16,20,17,24,11,7,1,2,1.0,2,0.0,1.0
2014-02-01,1.0,42,17,14,7,16,14,7,2,1,0.0,0,0.0,0.0
2014-02-02,0.0,25,12,9,12,30,9,10,5,0,0.0,0,0.0,0.0
2014-02-03,1.0,27,10,13,12,21,4,10,7,1,0.0,1,0.0,0.0
2014-02-04,0.0,27,22,15,8,19,9,11,1,0,0.0,0,0.0,1.0
2014-02-05,1.0,27,17,20,5,13,10,5,0,0,0.0,1,0.0,0.0
2014-02-06,1.0,33,13,10,6,17,6,8,0,1,1.0,0,0.0,1.0
2014-02-07,0.0,28,22,13,8,19,17,8,2,1,0.0,2,0.0,2.0
2014-02-08,0.0,27,16,13,12,20,13,5,2,0,0.0,1,0.0,1.0
